Item	Price	Quantity in Stock	Cashier	Time Stamp
item-305	6.99	36	Cashier-2	12:38
item-306	41.99	174	Cashier-5	19:46
item-307	38.99	84	Cashier-4	14:43
item-308	57.99	28	Cashier-2	15:41
item-309	40.99	22	Cashier-5	22:54
item-310	57.99	129	Cashier-3	19:41
item-311	52.99	140	Cashier-3	21:12
item-312	28.99	92	Cashier-4	16:41
item-313	33.99	17	Cashier-5	16:34
item-314	60.99	100	Cashier-4	12:44
item-315	43.99	166	Cashier-5	22:49
item-316	35.99	69	Cashier-3	12:32
item-317	42.99	110	Cashier-3	15:47
item-318	35.99	77	Cashier-2	13:53
item-319	8.99	87	Cashier-3	14:48
item-320	56.99	92	Cashier-5	14:49
item-321	10.99	198	Cashier-3	14:27
item-322	53.99	131	Cashier-2	17:13
item-323	4.99	190	Cashier-1	17:46
item-324	18.99	59	Cashier-1	12:35
item-325	6.99	39	Cashier-5	15:18
item-326	52.99	157	Cashier-4	15:21
item-327	42.99	105	Cashier-5	22:53
item-328	16.99	39	Cashier-1	12:53
item-329	4.99	81	Cashier-5	13:18
item-330	59.99	70	Cashier-2	12:32
item-331	52.99	8	Cashier-5	23:42
item-332	26.99	71	Cashier-4	13:32
item-333	4.99	172	Cashier-3	18:40
item-334	18.99	95	Cashier-1	21:20
item-335	1.99	19	Cashier-1	17:33
item-336	46.99	10	Cashier-5	10:49
item-337	4.99	149	Cashier-4	19:20
item-338	39.99	127	Cashier-4	16:46
item-339	5.99	181	Cashier-5	23:18
item-340	12.99	59	Cashier-5	19:23
item-341	42.99	67	Cashier-5	17:39
item-342	49.99	25	Cashier-3	13:45
item-343	5.99	172	Cashier-5	15:20
item-344	51.99	127	Cashier-2	18:51
item-345	56.99	113	Cashier-4	16:25
item-346	11.99	22	Cashier-1	15:36
item-347	31.99	136	Cashier-3	18:10
item-348	49.99	56	Cashier-3	13:50
item-349	34.99	79	Cashier-3	12:47
item-350	8.99	83	Cashier-4	16:27
item-351	7.99	67	Cashier-4	18:44
item-352	57.99	7	Cashier-2	19:25
item-353	29.99	94	Cashier-2	15:49
item-354	36.99	116	Cashier-5	23:51
item-355	3.99	164	Cashier-2	11:33
item-356	31.99	82	Cashier-3	18:55
item-357	28.99	70	Cashier-3	18:25
item-358	19.99	181	Cashier-1	17:16
item-359	54.99	142	Cashier-1	11:14
item-360	35.99	84	Cashier-3	21:38
item-361	44.99	135	Cashier-1	14:19
item-362	17.99	120	Cashier-5	17:56
item-363	50.99	21	Cashier-5	13:51
item-364	50.99	99	Cashier-1	21:11
item-365	52.99	23	Cashier-1	18:23
item-366	37.99	197	Cashier-5	14:41
item-367	48.99	104	Cashier-4	12:16
item-368	23.99	106	Cashier-2	22:58
item-369	25.99	156	Cashier-1	18:57
item-370	11.99	57	Cashier-5	11:50
item-371	16.99	77	Cashier-2	21:11
item-372	52.99	90	Cashier-1	11:38
item-373	44.99	149	Cashier-3	17:49
item-374	7.99	136	Cashier-2	18:36
item-375	5.99	112	Cashier-4	11:52
item-376	52.99	134	Cashier-5	11:56
item-377	11.99	17	Cashier-1	23:27
item-378	10.99	140	Cashier-4	18:52
item-379	19.99	92	Cashier-4	18:41
item-380	27.99	176	Cashier-3	21:15
item-381	12.99	173	Cashier-1	13:16
item-382	32.99	179	Cashier-3	23:45
item-383	39.99	162	Cashier-1	22:36
item-384	30.99	17	Cashier-5	23:35
item-385	23.99	44	Cashier-2	17:31
item-386	33.99	35	Cashier-2	13:22
item-387	34.99	129	Cashier-1	11:12
item-388	9.99	90	Cashier-4	15:57
item-389	49.99	128	Cashier-4	21:59
item-390	31.99	30	Cashier-5	18:10
item-391	50.99	169	Cashier-5	19:40
item-392	4.99	141	Cashier-3	14:38
item-393	53.99	112	Cashier-4	16:29
item-394	60.99	113	Cashier-2	15:58
item-395	51.99	87	Cashier-3	10:20
item-396	47.99	190	Cashier-1	13:38
item-397	19.99	26	Cashier-5	11:22
item-398	31.99	199	Cashier-2	19:19
item-399	30.99	161	Cashier-3	15:29
item-400	53.99	20	Cashier-3	10:18
item-401	50.99	177	Cashier-5	11:21
item-402	20.99	102	Cashier-1	17:10
item-403	33.99	28	Cashier-5	15:50
item-404	55.99	98	Cashier-2	20:25
item-405	35.99	164	Cashier-2	21:37
item-406	13.99	168	Cashier-1	21:31
item-407	7.99	73	Cashier-3	11:35
item-408	38.99	160	Cashier-3	19:33
item-409	36.99	111	Cashier-2	20:34
item-410	15.99	130	Cashier-4	20:30
item-411	2.99	107	Cashier-4	21:25
item-412	18.99	168	Cashier-1	15:16
item-413	46.99	55	Cashier-2	13:42
item-414	26.99	193	Cashier-1	13:14
item-415	8.99	47	Cashier-5	11:24
item-416	41.99	141	Cashier-3	17:49
item-417	58.99	194	Cashier-3	21:57
item-418	37.99	45	Cashier-5	17:43
item-419	42.99	64	Cashier-3	16:48
item-420	17.99	190	Cashier-2	17:46
item-421	26.99	187	Cashier-4	11:43
item-422	7.99	153	Cashier-2	20:39
item-423	43.99	48	Cashier-5	18:39
item-424	21.99	27	Cashier-5	19:27
item-425	27.99	94	Cashier-3	13:34
item-426	18.99	42	Cashier-1	21:19
item-427	29.99	99	Cashier-4	23:53
item-428	43.99	156	Cashier-3	18:12
item-429	8.99	118	Cashier-1	15:16
item-430	46.99	158	Cashier-3	15:47
item-431	55.99	93	Cashier-5	15:21
item-432	18.99	196	Cashier-3	18:30
item-433	52.99	113	Cashier-3	19:47
item-434	59.99	20	Cashier-3	15:41
item-435	43.99	33	Cashier-4	17:14
item-436	54.99	8	Cashier-4	18:25
item-437	14.99	156	Cashier-2	18:32
item-438	51.99	40	Cashier-3	19:44
item-439	26.99	191	Cashier-2	11:50
item-440	16.99	16	Cashier-5	17:53
item-441	5.99	125	Cashier-2	14:20
item-442	2.99	193	Cashier-2	19:26
item-443	2.99	148	Cashier-3	17:18
item-444	47.99	176	Cashier-4	13:54
item-445	55.99	120	Cashier-5	13:21
item-446	2.99	125	Cashier-5	16:16
item-447	2.99	80	Cashier-5	20:57
item-448	58.99	126	Cashier-4	17:12
item-449	57.99	69	Cashier-2	12:34
item-450	42.99	14	Cashier-2	22:19
item-451	12.99	98	Cashier-1	12:43
item-452	53.99	199	Cashier-4	13:44
item-453	5.99	138	Cashier-5	15:22
item-454	24.99	115	Cashier-2	15:33
item-455	50.99	95	Cashier-4	19:51
item-456	29.99	23	Cashier-4	20:40
item-457	60.99	175	Cashier-3	22:44
item-458	57.99	48	Cashier-4	18:44
item-459	16.99	151	Cashier-5	14:45
item-460	43.99	68	Cashier-4	19:38
item-461	54.99	72	Cashier-2	15:40
item-462	50.99	44	Cashier-2	16:41
item-463	37.99	24	Cashier-2	21:43
item-464	9.99	118	Cashier-4	23:57
item-465	11.99	54	Cashier-5	22:15
item-466	29.99	117	Cashier-5	10:43
item-467	27.99	193	Cashier-3	12:28
item-468	51.99	170	Cashier-5	12:35
item-469	39.99	154	Cashier-2	10:18
item-470	34.99	93	Cashier-3	15:39
item-471	3.99	126	Cashier-1	19:19
item-472	48.99	62	Cashier-1	18:28
item-473	51.99	186	Cashier-5	19:39
item-474	8.99	114	Cashier-5	14:22
item-475	2.99	189	Cashier-3	10:25
item-476	24.99	155	Cashier-4	14:47
item-477	47.99	128	Cashier-4	12:51
item-478	26.99	24	Cashier-3	19:18
item-479	25.99	193	Cashier-5	13:44
item-480	47.99	45	Cashier-5	22:28
item-481	26.99	51	Cashier-5	11:20
item-482	7.99	39	Cashier-2	11:57
item-483	44.99	125	Cashier-3	13:51
item-484	28.99	124	Cashier-4	21:11
item-485	42.99	162	Cashier-5	14:52
item-486	5.99	148	Cashier-4	10:17
item-487	49.99	117	Cashier-1	13:40
item-488	1.99	85	Cashier-4	14:11
item-489	42.99	176	Cashier-1	22:50
item-490	9.99	35	Cashier-4	17:14
item-491	53.99	196	Cashier-3	11:50
item-492	34.99	58	Cashier-5	10:52
item-493	8.99	184	Cashier-4	14:37
item-494	45.99	175	Cashier-1	11:20
item-495	48.99	92	Cashier-2	13:46
item-496	45.99	93	Cashier-3	14:59
item-497	58.99	160	Cashier-5	15:18
item-498	29.99	159	Cashier-3	13:48
item-499	26.99	103	Cashier-3	11:58
item-500	5.99	109	Cashier-2	21:46
item-501	42.99	78	Cashier-3	13:34
item-502	35.99	33	Cashier-2	22:55
item-503	32.99	107	Cashier-5	14:16
item-504	42.99	54	Cashier-2	10:38
item-505	44.99	94	Cashier-4	20:54
item-506	43.99	110	Cashier-4	18:21
item-507	42.99	86	Cashier-2	12:23
item-508	49.99	40	Cashier-5	22:44
item-509	12.99	153	Cashier-1	22:56
item-510	33.99	56	Cashier-2	14:28
item-511	23.99	61	Cashier-5	22:14
item-512	8.99	197	Cashier-4	16:20
item-513	47.99	103	Cashier-4	19:35
item-514	58.99	181	Cashier-5	15:26
item-515	12.99	196	Cashier-1	14:33
item-516	20.99	127	Cashier-5	19:12
item-517	6.99	191	Cashier-5	22:27
item-518	49.99	199	Cashier-1	10:33
item-519	37.99	96	Cashier-1	11:18
item-520	39.99	159	Cashier-4	10:18
item-521	26.99	129	Cashier-5	11:45
item-522	38.99	178	Cashier-4	12:38
item-523	51.99	66	Cashier-2	21:43
item-524	16.99	164	Cashier-1	10:10
item-525	38.99	38	Cashier-4	10:20
item-526	38.99	113	Cashier-2	20:55
item-527	47.99	5	Cashier-2	12:51
item-528	18.99	200	Cashier-4	18:46
item-529	48.99	83	Cashier-3	11:31
item-530	1.99	196	Cashier-5	19:20
item-531	6.99	83	Cashier-1	20:59
item-532	4.99	95	Cashier-2	20:59
item-533	59.99	187	Cashier-5	10:57
item-534	21.99	50	Cashier-2	15:54
item-535	40.99	146	Cashier-1	11:40
item-536	3.99	22	Cashier-5	12:59
item-537	6.99	126	Cashier-2	20:53
item-538	51.99	165	Cashier-1	13:31
item-539	39.99	171	Cashier-2	14:39
item-540	12.99	194	Cashier-3	19:46
item-541	36.99	80	Cashier-1	14:53
item-542	2.99	142	Cashier-3	10:53
item-543	4.99	58	Cashier-5	19:57
item-544	56.99	151	Cashier-3	13:37
item-545	14.99	65	Cashier-1	13:51
item-546	22.99	183	Cashier-3	17:40
item-547	8.99	39	Cashier-4	22:36
item-548	30.99	195	Cashier-5	20:10
item-549	23.99	7	Cashier-3	17:54
item-550	47.99	10	Cashier-4	14:15
item-551	24.99	103	Cashier-4	23:57
item-552	16.99	111	Cashier-4	15:33
item-553	11.99	25	Cashier-3	22:46
item-554	58.99	34	Cashier-2	22:45
item-555	10.99	141	Cashier-1	14:24
item-556	31.99	27	Cashier-5	10:28
item-557	50.99	104	Cashier-3	13:36
item-558	33.99	154	Cashier-3	13:53
item-559	30.99	11	Cashier-4	16:36
item-560	41.99	98	Cashier-4	20:27
item-561	4.99	32	Cashier-2	10:59
item-562	2.99	22	Cashier-1	20:48
item-563	50.99	92	Cashier-4	23:37
item-564	51.99	122	Cashier-3	21:35
item-565	27.99	68	Cashier-5	13:20
item-566	12.99	14	Cashier-5	12:17
item-567	56.99	84	Cashier-1	20:45
item-568	25.99	151	Cashier-1	12:49
item-569	43.99	126	Cashier-3	13:52
item-570	46.99	9	Cashier-1	22:38
item-571	47.99	83	Cashier-2	21:17
item-572	38.99	119	Cashier-2	23:51
item-573	35.99	71	Cashier-4	16:14
item-574	60.99	26	Cashier-4	18:18
item-575	32.99	147	Cashier-3	20:52
item-576	11.99	28	Cashier-1	17:11
item-577	8.99	57	Cashier-5	11:53
item-578	4.99	60	Cashier-2	17:40
item-579	17.99	166	Cashier-2	13:43
item-580	47.99	83	Cashier-2	21:34
item-581	34.99	124	Cashier-5	12:37
item-582	9.99	170	Cashier-1	16:26
item-583	53.99	18	Cashier-2	23:27
item-584	14.99	24	Cashier-1	20:19
item-585	34.99	51	Cashier-4	23:39
item-586	42.99	147	Cashier-5	21:44
item-587	27.99	42	Cashier-2	14:19
item-588	51.99	102	Cashier-1	11:13
item-589	25.99	184	Cashier-2	22:20
item-590	23.99	6	Cashier-3	18:54
item-591	36.99	172	Cashier-1	12:29
item-592	35.99	156	Cashier-5	20:14
item-593	2.99	158	Cashier-5	12:54
item-594	11.99	163	Cashier-5	12:46
item-595	25.99	127	Cashier-3	15:25
item-596	28.99	67	Cashier-1	19:35
item-597	41.99	145	Cashier-3	20:52
item-598	18.99	185	Cashier-3	21:45
item-599	4.99	147	Cashier-2	16:37
item-600	30.99	116	Cashier-4	12:44
item-601	23.99	167	Cashier-2	21:57
item-602	5.99	47	Cashier-2	19:51
item-603	5.99	5	Cashier-5	17:50
item-604	19.99	41	Cashier-4	10:20
item-605	40.99	48	Cashier-3	22:10
item-606	3.99	14	Cashier-3	18:33
item-607	29.99	117	Cashier-4	23:23
item-608	60.99	155	Cashier-5	21:33
item-609	36.99	113	Cashier-2	12:17
item-610	9.99	100	Cashier-2	20:11
item-611	25.99	7	Cashier-5	16:17
item-612	52.99	86	Cashier-5	15:54
item-613	4.99	18	Cashier-4	16:14
item-614	33.99	117	Cashier-1	12:37
item-615	26.99	142	Cashier-4	11:24
item-616	60.99	142	Cashier-4	17:38
item-617	35.99	157	Cashier-2	20:45
item-618	42.99	162	Cashier-3	16:11
item-619	44.99	55	Cashier-1	23:36
item-620	17.99	60	Cashier-3	20:39
item-621	24.99	17	Cashier-4	11:54
item-622	8.99	172	Cashier-3	11:30
item-623	27.99	51	Cashier-5	20:42
item-624	47.99	174	Cashier-2	11:51
item-625	21.99	24	Cashier-5	19:54
item-626	50.99	126	Cashier-5	16:50
item-627	7.99	175	Cashier-4	21:37
item-628	17.99	53	Cashier-2	23:38
item-629	13.99	101	Cashier-5	22:51
item-630	26.99	178	Cashier-2	10:50
item-631	24.99	180	Cashier-2	12:57
item-632	40.99	153	Cashier-2	10:13
item-633	35.99	138	Cashier-3	12:52
item-634	11.99	68	Cashier-1	10:16
item-635	31.99	119	Cashier-5	15:45
item-636	46.99	61	Cashier-2	11:10
item-637	52.99	143	Cashier-4	13:25
item-638	40.99	91	Cashier-3	18:25
item-639	54.99	90	Cashier-5	21:32
item-640	22.99	18	Cashier-1	13:53
item-641	26.99	189	Cashier-4	15:36
item-642	54.99	81	Cashier-4	18:17
item-643	10.99	101	Cashier-1	23:13
item-644	32.99	126	Cashier-1	13:39
item-645	11.99	164	Cashier-1	13:57
item-646	24.99	139	Cashier-2	22:42
item-647	9.99	170	Cashier-2	10:13
item-648	39.99	46	Cashier-3	11:50
item-649	2.99	76	Cashier-5	15:11
item-650	42.99	122	Cashier-1	12:21
item-651	37.99	118	Cashier-5	16:57
item-652	8.99	102	Cashier-3	20:25
item-653	53.99	73	Cashier-4	20:26
item-654	43.99	173	Cashier-3	13:59
item-655	59.99	175	Cashier-4	17:55
item-656	46.99	102	Cashier-1	11:39
item-657	41.99	73	Cashier-3	10:26
item-658	56.99	125	Cashier-1	20:24
item-659	54.99	193	Cashier-1	10:44
item-660	49.99	189	Cashier-2	16:58
item-661	48.99	36	Cashier-1	16:34
item-662	54.99	10	Cashier-5	12:25
item-663	7.99	50	Cashier-4	17:44
